"Timestamp","Test ","Pulsar botón primero","Impresiones. Del 1 al 5","Tiempo de ejecución","¿Termina el proceso?"
"2023/11/17 10:47:12 am CET","A","Hacer pedido.","4","00:00:40","Si"
"2023/11/17 10:51:58 am CET","A","Hacer pedido.","5","00:00:40","Si"
"2023/11/17 10:53:39 am CET","A","Matadero","5","00:00:10","Si"
"2023/11/17 10:53:41 am CET","A","Hacer pedido.","5","00:00:55","Si"
"2023/11/17 10:54:10 am CET","A","Hacer pedido.","3","00:00:33","Si"
"2023/11/17 10:54:18 am CET","A","Matadero","4","00:00:39","Si"
"2023/11/17 10:55:01 am CET","A","Matadero","5","00:00:20","Si"
"2023/11/17 10:55:29 am CET","A","Hacer pedido.","5","00:00:41","Si"
"2023/11/17 10:56:59 am CET","A","Hacer pedido.","4","00:00:33","Si"
"2023/11/17 10:57:16 am CET","A","Matadero","4","00:00:55","Si"
"2023/11/17 10:58:52 am CET","A","Matadero","1","00:00:10","No"
"2023/11/17 10:59:00 am CET","A","Matadero","4","00:01:30","Si"
"2023/11/17 10:59:05 am CET","A","Matadero","4","00:00:38","Si"
"2023/11/17 11:01:05 am CET","A","Matadero","4","00:00:43","Si"
"2023/11/17 11:01:47 am CET","A","Hacer pedido.","4","00:01:09","Si"
"2023/11/17 11:02:30 am CET","A","Matadero","4","00:00:40","Si"
"2023/11/17 11:03:36 am CET","A","Hacer pedido.","5","00:00:40","Si"
"2023/11/17 11:04:12 am CET","A","Hacer pedido.","3","","Si"
"2023/11/17 11:05:34 am CET","A","Hacer pedido.","5","00:00:40","Si"
"2023/11/17 11:05:34 am CET","A","Matadero","4","00:02:19","Si"
"2023/11/17 11:10:14 am CET","A","Hacer pedido.","3","00:01:00","Si"
"2023/11/17 11:28:59 am CET","B","Matadero","4","00:00:30","Si"
"2023/11/17 11:30:23 am CET","B","Hacer pedido.","4","00:00:38","Si"
"2023/11/17 11:30:58 am CET","B","Matadero","5","00:00:30","Si"
"2023/11/17 11:31:51 am CET","B","Hacer pedido.","3","00:00:54","Si"
"2023/11/17 11:33:18 am CET","B","Matadero","4","00:00:30","Si"
"2023/11/17 11:37:19 am CET","B","Matadero","2","00:02:13","Si"
"2023/11/17 11:37:27 am CET","B","Matadero","4","00:01:00","Si"
"2023/11/17 11:41:49 am CET","B","Matadero","3","00:02:00","Si"
"2023/11/17 11:42:49 am CET","B","Hacer pedido.","5","00:00:26","Si"
"2023/11/17 11:45:19 am CET","B","Matadero","5","00:00:30","Si"
"2023/11/17 11:45:32 am CET","B","Hacer pedido.","4","00:00:48","Si"
"2023/11/17 11:45:58 am CET","B","Matadero","4","00:00:32","Si"
"2023/11/17 11:47:19 am CET","B","Matadero","5","00:00:30","Si"
"2023/11/17 11:51:07 am CET","B","Hacer pedido.","5","00:00:30","Si"
"2023/11/17 11:52:18 am CET","B","Matadero","4","00:01:04","Si"
"2023/11/17 11:53:29 am CET","B","Matadero","4","00:00:30","Si"
"2023/11/17 11:56:42 am CET","B","Hacer pedido.","5","00:00:30","Si"
"2023/11/17 11:57:27 am CET","B","Hacer pedido.","4","00:00:48","Si"
"2023/11/17 11:57:44 am CET","B","Matadero","5","00:00:40","Si"
"2023/11/17 11:57:48 am CET","B","Hacer pedido.","4","00:00:40","Si"
"2023/11/17 12:00:42 pm CET","B","Matadero","5","00:00:30","Si"
"2023/11/17 12:17:56 pm CET","A","","","",""
"2023/11/17 12:18:35 pm CET","B","Matadero","4","00:00:46","Si"
"2023/11/17 12:21:24 pm CET","A","Hacer pedido.","4","00:00:30","Si"
"2023/11/17 12:26:50 pm CET","B","Hacer pedido.","5","00:00:33","Si"
"2023/11/17 12:29:03 pm CET","B","Matadero","4","00:00:40","Si"
"2023/11/17 12:31:18 pm CET","B","Hacer pedido.","4","00:00:39","Si"
"2023/11/17 12:33:25 pm CET","B","Hacer pedido.","5","00:00:50","Si"
"2023/11/17 12:40:39 pm CET","A","Matadero","5","00:00:40","Si"
"2023/11/17 12:43:19 pm CET","A","Matadero","5","00:00:30","Si"
"2023/11/17 12:46:35 pm CET","A","Matadero","3","00:00:30","Si"